title,date,sentence
The Ultimate Fighter 1 Finale,2026-03-01,"White asks Quarry to stay on as an assistant coach, and he agrees. *Quarry gets to choose his replacement from the loser's lounge, and he chooses Chris Leben. *Team Couture wins the middleweight challenge. *'''Diego Sanchez''' defeated Josh Rafferty by submission (rear naked choke) at 1:48 of the first round. '''Episode 9: ""Low Blow"" (original airdate: 14 March 2005)''' *Kenny Florian is traded to Team Couture in another team reshuffle. *Team Liddell wins the light heavyweight challenge. *Sam Hoger is accused of stealing from the other competitors. *'''Forrest Griffin''' defeated Alex Schoenauer by submission (strikes) at 1:20 of the first round. *During his fight with Schoenauer, Griffin receives a cut above his left eye that doctors think is possibly severe enough to prevent him from fighting again. '''Episode 10: ""Middleweight Semi-Final #1"" (original airdate: 21 March 2005)''' *Forrest Griffin has to choose a light heavyweight fighter to come back into the house in the case he gets sent home."
The Ultimate Fighter 1 Finale,2026-03-01,"He chooses Bobby Southworth, who is not given the chance to fight, as Griffin is cleared. *'''Kenny Florian''' defeated Chris Leben by TKO (doctor stoppage) at 3:11 of the second round. '''Episode 11: ""Middleweight Semi-Final #2"" (original airdate: 28 March 2005)''' *'''Diego Sanchez''' defeated Josh Koscheck by split decision after 3 rounds although one judge did give all 3 rounds to Koscheck. '''Episode 12: ""Light Heavyweight Semi-Finals"" (original airdate: 4 April 2005)''' *'''Forrest Griffin''' defeated Sam Hoger by TKO (strikes) at 1:05 of the second round. *'''Stephan Bonnar''' defeated Mike Swick by submission (triangle armbar) at 4:58 of the first round. ==Light heavyweight bracket== ==Middleweight bracket== ''* Nate Quarry was slated to fight Florian but an injury forced him to be replaced by Leben.'' '''Legend''' {| style=""border:1px solid black;"" align=left |+ |- | style=""background:skyblue; width:40px;"" | | &nbsp; | Team Liddell |- | style=""background:limegreen; width:40px;"" | | &nbsp; | Team Couture |- | style=""width:60px;"" | | &nbsp; | Unanimous Decision |- | style=""width:60px;"" | | &nbsp; | Split Decision |- | style=""width:60px;"" | | &nbsp; | Submission |- | style=""width:60px;"" | | &nbsp; | Technical Knockout |} ==The Ultimate Fighter: Team Couture vs."
The Ultimate Fighter 2 Finale,2026-03-01,"However, this has recently been changed and they are now considered to be exhibition bouts. ==Cast== ===Coaches=== * Matt Hughes, head coach of blue team * Rich Franklin, head coach of green team ===Fighters=== *Team Franklin **Welterweights : Jorge Gurgel, Marcus Davis, Anthony Torres, Melvin Guillard **Heavyweights : Keith Jardine, Seth Petruzelli, Rashad Evans, Brad Imes *Team Hughes **Welterweights : Joe Stevenson, Josh Burkman (Jason Von Flue), Sammy Morgan, Luke Cummo **Heavyweights : Mike Whitehead, Dan Christison, Rob MacDonald, Tom Murphy *Unassigned **Kenny Stevens, Kerry Schall, Eli Joslin. ''* Burkman was replaced by Von Flue due to injury on episode 2.'' ===Others=== *Hosts: Dana White, Randy Couture *Narrator: Mike Rowe ==Episodes== '''Episode 1: A New Crop (Original Air Date: August 22, 2005)''' *Matt Hughes and Rich Franklin are introduced as the new coaches. *Heavyweight Kerry Schall is eliminated due to a knee injury. *Eli Joslin chooses to leave the show, citing his reasons as not being able to handle the camera environment at the house. *Kenny Stevens is chosen as the weakest welterweight and calls out Sammy Morgan to fight. *Stevens forfeits his match saying he will not be able to make weight for the fight. '''Episode 2: The Teams Are Picked (Original Air Date: August 29, 2005)''' *Dan Christison joins the show to replace the injured Schall. *A coin is flipped and Franklin chose to pick the first fighter. {| class=""wikitable"" |- !Coach !1st Pick !2nd Pick !3rd Pick !4th Pick !5th Pick !6th Pick !7th Pick !8th Pick |- !Franklin |Keith Jardine |Jorge Gurgel |Seth Petruzelli |Marcus Davis |Rashad Evans |Anthony Torres |Melvin Guillard |Brad Imes |- !Hughes |Joe Stevenson |Mike Whitehead |Josh Burkman |Dan Christison |Sammy Morgan |Tom Murphy |Rob McDonald |Luke Cummo |} *Team Hughes wins the welterweight challenge. *'''Josh Burkman''' defeated Melvin Guillard by unanimous decision after three rounds. '''Episode 3: No Pain, No Grain (Original Air Date: September 5, 2005)''' *Josh Burkman is forced to leave the competition after breaking his arm in the match with Melvin Guillard. *Rob MacDonald complains about his shoulder which he claims he injured very badly."
The Ultimate Fighter 3 Finale,2026-03-01,His semi-finals spot was then replaced by Forbes.'' ''* Hamill was injured after his fight.
The Ultimate Fighter 4 Finale,2026-03-01,"They pick Rich Clementi to fight against Shonie Carter. * '''Shonie Carter''' defeated Rich Clementi via unanimous decision after two rounds. * During the match, Serra was acting as a cornerman for Carter. * Team Mojo gains control of matchups. '''Episode 2: Blood Bath (Original Air Date Aug 24, 2006)''' * White announces that eliminated fighters will not leave the show, thus Rich Clementi will continue to live and train with the cast and be available as a replacement should someone drop out of the competition. * Team Mojo plans a matchup strategy at a secret firepit meeting outside the house."
The Ultimate Fighter 4 Finale,2026-03-01,"Spratt was chosen as his replacement.'' ===Middleweight Bracket=== {| style=""border:1px solid black;"" align=left |+ '''Legend''' |- | style=""background:grey; width:40px;"" | | &nbsp; | Team Mojo |- | style=""background:navy; width:40px;"" | | &nbsp; | Team No Love |- | style=""width:60px;"" | | &nbsp; | Unanimous Decision |- | style=""width:60px;"" | | &nbsp; | Split Decision |- | style=""width:60px;"" | | &nbsp; | Submission |- |} ==The Ultimate Fighter 4 Finale== '''''The Ultimate Fighter: The Comeback Finale''''' (also known as '''''The Ultimate Fighter 4 Finale''''') was a mixed martial arts event held by the Ultimate Fighting Championship (UFC) on November 11, 2006."
The Ultimate Fighter: Heavyweights Finale,2026-03-01,"He told Mitrione that they will not know if he is medically cleared to fight until the next day; if he is medically cleared, he needed to decide whether he wanted to fight. *'''Brendan Schaub''' defeated Jon Madsen by KO (punch) at 1:39 in the second round. ;'''Episode 11: Road to the Finale''' ''Note: This episode aired in the United States as a two-hour episode.'' *Dana White wanted to talk with fighters for a possible replacement for Matt Mitrione. *White at first talked to Kimbo Slice who complained of knee problems and did not think he could fight to his fullest."
The Ultimate Fighter: Heavyweights Finale,2026-03-01,Linhares was a replacement for Alessio Sakara who had to pull out due to rumored visa issues.
The Ultimate Fighter: Team Bisping vs. Team Miller Finale,2013-02-01,He was replaced by Josh Clopton.
The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,2026-03-01,"Leonard Garcia was set to fight Tyler Toner at this event, but withdrew from the contest, with Team Quest fighter & IFL veteran, Ian Loveland stepping in as Garcia's replacement."
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2026-03-01,"He was then replaced by Jon Koppenhaver, with Team Serra wishing him well. * '''Mac Danzig''' defeats Joe Scarola by submission (triangle choke) at 4:54 of the first round. ;Episode 2 – I Need You, Bro '''(Original Air Date Sep 26, 2007)''' * Team Serra chooses the second fight. * Joe Scarola considers leaving the house. * '''Matt Arroyo''' defeats Dorian Price by submission (rear naked choke) at 1:48 of the first round. '''Episode 3 – It's About Character''' '''(Original Air Date Oct 03, 2007)''' * Team Hughes chooses Miles to fight Kolosci. * Both teams watch ''UFC 72''. * Serra and Joe Scarola have a talk about Scarola still wanting to leave the house. * Upon returning from ''UFC 72'', White has a talk with Scarola. * Scarola decides to leave the house."
